--- Step 04650 | Actual: Kutztown, US ---
  2.   0.1% | 12228 km | Guess: ( 44.43,  -0.22)
  3.   0.1% |  9680 km | Guess: ( 56.00,  37.44)

--- Step 04825 | Actual: Milford, US ---
  1.  58.2% |  6135 km | Guess: (-12.12, -77.02)
  2.   0.0% | 13470 km | Guess: ( 16.03, 108.23)
  3.   0.0% |  5965 km | Guess: ( 59.85,  17.64)

--- Step 04838 | Actual: East Wemyss, GB ---
  1.  76.5% | 10161 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9783 km | Guess: ( 16.03, 108.23)
  3.   0.0% |  7886 km | Guess: ( 17.44,  78.51)

--- Step 04850 | Actual: Jundiai, BR ---
  1.  19.3% |  3406 km | Guess: (-12.12, -77.02)
  2.   0.1% | 14324 km | Guess: ( 17.44,  78.51)
  3.   0.1% | 16038 km | Guess: (  1.13, 104.02)

--- Step 04863 | Actual: Kato Deftera, CY ---
  1.  36.4% | 12618 km | Guess: (-12.12, -77.02)
  2.   0.1% |  8191 km | Guess: (  1.13, 104.02)
  3.   0.0% |  4867 km | Guess: ( 17.44,  78.51)

--- Step 04875 | Actual: Villereversure, FR ---
  1.  72.2% | 10405 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10578 km | Guess: (  1.13, 104.02)
  3.   0.0% |  6531 km | Guess: ( 29.39,  79.55)

--- Step 04888 | Actual: Bristol, GB ---
  1.  10.2% | 10011 km | Guess: (-12.12, -77.02)
  2.   0.1% | 11049 km | Guess: (  1.13, 104.02)
  3.   0.0% |  1897 km | Guess: ( 61.12,  23.12)

--- Step 04900 | Actual: Lalbenque, FR ---
  1.  77.9% | 10072 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10896 km | Guess: (  1.13, 104.02)
  3.   0.0% | 11332 km | Guess: (-33.59, -70.56)

--- Step 04913 | Actual: Nauders, AT ---
  1.  54.1% | 10802 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8825 km | Guess: ( 30.31, -97.69)
  3.   0.0% |  2748 km | Guess: ( 56.64,  47.88)

--- Step 04900 | Actual: Kutztown, US ---
  1.  66.2% |  5861 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8264 km | Guess: (-33.59, -70.56)
  3.   0.0% | 15378 km | Guess: (  1.13, 104.02)

--- Step 04913 | Actual: Nice, FR ---
  1.  22.7% | 10481 km | Guess: (-12.12, -77.02)
  2.   0.1% | 10482 km | Guess: (-12.10, -77.04)
  3.   0.1% | 16490 km | Guess: (-27.70, 153.07)

--- Step 04925 | Actual: South Park, US ---
  1.  57.3% |  7063 km | Guess: (-12.12, -77.02)
  2.   0.1% | 14511 km | Guess: ( -5.44, 105.28)
  3.   0.1% |  7060 km | Guess: (-12.10, -77.04)

--- Step 04938 | Actual: Lehe, DE ---
  1.  72.0% | 10708 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1863 km | Guess: ( 40.83,  24.30)
  3.   0.0% |  6682 km | Guess: ( 41.71, -86.91)

--- Step 04950 | Actual: Severnoye, RU ---
  1.  85.0% | 13610 km | Guess: (-12.12, -77.02)
  2.   0.0% | 13635 km | Guess: (-27.42, -55.88)
  3.   0.0% |  6713 km | Guess: ( 26.20, 127.67)

--- Step 04963 | Actual: Thones, FR ---
  1.  54.0% | 10465 km | Guess: (-12.12, -77.02)
  2.   0.1% | 10277 km | Guess: (-27.42, -55.88)
  3.   0.1% |  7329 km | Guess: ( 41.45, -91.03)

--- Step 04975 | Actual: Colorado Springs, US ---
  1.  43.5% |  6356 km | Guess: (-12.12, -77.02)
  2.   0.2% |   829 km | Guess: ( 38.95, -95.20)
  3.   0.2% |    12 km | Guess: ( 38.95, -104.76)

--- Step 04988 | Actual: Summerlin South, US ---
  1.  52.4% |  6711 km | Guess: (-12.12, -77.02)
  2.   0.2% |  1733 km | Guess: ( 32.74, -96.87)
  3.   0.1% | 13182 km | Guess: ( 24.44,  54.40)

--- Step 05000 | Actual: Dietikon / Hofacker, CH ---
  1.  53.6% | 10657 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2662 km | Guess: ( 48.72,  44.52)
  3.   0.0% |  4769 km | Guess: ( 24.44,  54.40)

--- Step 05013 | Actual: Girardi-Bellavista-Terrazze, IT ---
  1.  64.7% | 10874 km | Guess: (-12.12, -77.02)
  2.   0.0% | 11175 km | Guess: (-34.65, -58.41)
  3.   0.0% |  8077 km | Guess: ( 53.28, -110.01)

--- Step 05025 | Actual: Burea, SE ---
  1.  60.4% | 11616 km | Guess: (-12.12, -77.02)
  2.   0.1% | 12981 km | Guess: (-34.65, -58.41)
  3.   0.1% |  6432 km | Guess: ( 39.64, -76.42)

--- Step 05038 | Actual: Brasilia, BR ---
  1.  65.6% |  3170 km | Guess: (-12.12, -77.02)
  2.   0.1% |  2348 km | Guess: (-34.65, -58.41)
  3.   0.1% |  6836 km | Guess: ( 39.64, -76.42)

--- Step 05050 | Actual: Zaton, HR ---
  1.  76.3% | 11163 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9089 km | Guess: ( 32.82, -96.76)
  3.   0.0% |  1277 km | Guess: ( 44.43,  -0.22)

--- Step 05063 | Actual: Srandakan, ID ---
  1.  29.0% | 17656 km | Guess: (-12.12, -77.02)
  2.   0.1% |  4469 km | Guess: ( 17.44,  78.51)
  3.   0.1% | 16100 km | Guess: ( 32.82, -96.76)

--- Step 05075 | Actual: Milford, US ---
  1.  58.4% |  6135 km | Guess: (-12.12, -77.02)
  2.   0.1% | 12649 km | Guess: ( 17.44,  78.51)
  3.   0.1% |  5693 km | Guess: ( 33.90,  -5.57)

--- Step 05088 | Actual: East Wemyss, GB ---
  1.  83.6% | 10161 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7886 km | Guess: ( 17.44,  78.51)
  3.   0.0% |  4698 km | Guess: ( 51.12,  71.41)

--- Step 05100 | Actual: Jundiai, BR ---
  1.  18.3% |  3406 km | Guess: (-12.12, -77.02)
  2.   0.2% | 16038 km | Guess: (  1.13, 104.02)
  3.   0.1% | 14324 km | Guess: ( 17.44,  78.51)

--- Step 05113 | Actual: Kato Deftera, CY ---
  1.  35.8% | 12618 km | Guess: (-12.12, -77.02)
  2.   0.1% |  8191 km | Guess: (  1.13, 104.02)
  3.   0.1% |  4750 km | Guess: (  5.55,  -0.22)

--- Step 05125 | Actual: Villereversure, FR ---
  1.  76.9% | 10405 km | Guess: (-12.12, -77.02)
  2.   0.0% |  4553 km | Guess: (  5.55,  -0.22)
  3.   0.0% | 10578 km | Guess: (  1.13, 104.02)

--- Step 05138 | Actual: Bristol, GB ---
  1.   5.6% | 10011 km | Guess: (-12.12, -77.02)
  2.   0.1% |  8571 km | Guess: ( 35.82, 115.01)
  3.   0.1% |  7473 km | Guess: ( 32.97, -96.80)

--- Step 05150 | Actual: Lalbenque, FR ---
  1.  75.0% | 10072 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9175 km | Guess: ( 38.56, -121.73)
  3.   0.0% |  2821 km | Guess: ( 55.92,  37.73)

--- Step 05163 | Actual: Nauders, AT ---
  1.  64.9% | 10802 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2119 km | Guess: ( 55.92,  37.73)
  3.   0.0% |  2876 km | Guess: ( 53.10,  50.15)

--- Step 05175 | Actual: Lilla Edet, SE ---
  1.  58.9% | 11100 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10848 km | Guess: (-17.78, -63.14)
  3.   0.0% |  3791 km | Guess: ( 29.00, -13.49)

--- Step 05188 | Actual: Great Torrington, GB ---
  1.  82.7% |  9885 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6121 km | Guess: ( 49.87, -97.13)
  3.   0.0% |  8361 km | Guess: ( 47.85, 134.95)

--- Step 05200 | Actual: San Jacinto, GT ---
  1.  45.8% |  3286 km | Guess: (-12.12, -77.02)
  2.   0.0% |  3969 km | Guess: ( 49.87, -97.13)
  3.   0.0% | 11781 km | Guess: ( 47.85, 134.95)

--- Step 05213 | Actual: La Rochette, FR ---
  1.  63.1% | 10441 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7093 km | Guess: ( 49.87, -97.13)
  3.   0.0% |  8384 km | Guess: ( 38.89, -104.88)

--- Step 05225 | Actual: Vina del Mar, CL ---
  1.  32.8% |  2389 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9651 km | Guess: (-36.87, 174.64)
  3.   0.0% |  8064 km | Guess: (-33.68,  18.61)

--- Step 05238 | Actual: Abu Dhabi, AE ---
  1.  32.0% | 14762 km | Guess: (-12.12, -77.02)
  2.   0.1% |  2975 km | Guess: ( 40.89,  29.27)
  3.   0.1% | 14208 km | Guess: (-36.87, 174.64)

--- Step 05250 | Actual: Czersk, PL ---
  1.  46.3% | 11419 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1664 km | Guess: ( 40.89,  29.27)
  3.   0.0% | 11371 km | Guess: (-25.29, -57.66)

--- Step 05263 | Actual: Klosterkumbd, DE ---
  1.  48.5% | 10654 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7432 km | Guess: ( 30.28, -81.77)
  3.   0.0% |  1967 km | Guess: ( 40.89,  29.27)

--- Step 05275 | Actual: Box Hill, AU ---
  1.  26.5% | 12937 km | Guess: (-12.12, -77.02)
  2.   0.1% | 15660 km | Guess: ( 30.28, -81.77)
  3.   0.1% |   149 km | Guess: (-37.10, 146.55)

--- Step 05288 | Actual: Pointe-a-Pitre, GP ---
  1.  23.9% |  3582 km | Guess: (-12.12, -77.02)
  2.   0.1% |  2581 km | Guess: ( 30.28, -81.77)
  3.   0.0% |  8507 km | Guess: ( 37.87,  23.78)

--- Step 05300 | Actual: Loveland, US ---
  1.  51.9% |  6522 km | Guess: (-12.12, -77.02)
  2.   0.0% | 12749 km | Guess: ( 24.58,  68.39)
  3.   0.0% |  1533 km | Guess: ( 44.08, -123.08)

--- Step 05313 | Actual: Mala, PE ---
  1.  26.3% |    74 km | Guess: (-12.12, -77.02)
  2.   0.1% | 16113 km | Guess: ( 24.58,  68.39)
  3.   0.0% | 11115 km | Guess: ( 63.36,  10.36)

--- Step 05325 | Actual: Catlettsburg, US ---
  1.  58.2% |  5650 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7745 km | Guess: ( 51.14,  23.45)
  3.   0.0% | 12387 km | Guess: ( 24.58,  68.39)

--- Step 05338 | Actual: Carrollton, US ---
  1.  69.7% |  5140 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1909 km | Guess: ( 39.25, -105.25)
  3.   0.0% | 16749 km | Guess: ( -6.27, 106.83)

--- Step 05350 | Actual: Renfrew, CA ---
  1.  65.6% |  6390 km | Guess: (-12.12, -77.02)
  2.   0.0% | 15653 km | Guess: ( -6.27, 106.83)
  3.   0.0% |  9010 km | Guess: ( 32.09,  34.81)

--- Step 05363 | Actual: Colac, AU ---
  1.  37.6% | 13006 km | Guess: (-12.12, -77.02)
  2.   0.0% |  5123 km | Guess: ( -6.27, 106.83)
  3.   0.0% |  8652 km | Guess: ( 39.42, 140.43)

--- Step 05375 | Actual: Anapolis, BR ---
  1.  54.5% |  3062 km | Guess: (-12.12, -77.02)
  2.   0.0% | 16359 km | Guess: ( -6.27, 106.83)
  3.   0.0% |  3390 km | Guess: ( -8.13, -79.03)

--- Step 05388 | Actual: Milford, US ---
  1.  78.7% |  6437 km | Guess: (-12.12, -77.02)
  2.   0.0% | 15364 km | Guess: ( -6.27, 106.83)
  3.   0.0% |  1174 km | Guess: ( 32.85, -96.65)

--- Step 05400 | Actual: Pannal, GB ---
  1.  70.9% | 10170 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2315 km | Guess: ( 33.57,  -7.62)
  3.   0.0% |  8680 km | Guess: ( 24.01, -104.67)

--- Step 05413 | Actual: Mashhad, IR ---
  1.  15.8% | 14913 km | Guess: (-12.12, -77.02)
  2.   0.1% |  6317 km | Guess: ( 30.39,  -9.60)
  3.   0.1% | 12568 km | Guess: (-22.95, -42.95)

--- Step 05425 | Actual: Polva, EE ---
  1.  67.3% | 11975 km | Guess: (-12.12, -77.02)
  2.   0.0% |  3756 km | Guess: ( 33.57,  -7.62)
  3.   0.0% |   652 km | Guess: ( 55.75,  36.89)

--- Step 05438 | Actual: Samut Prakan, TH ---
  1.  47.2% | 19719 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10339 km | Guess: ( 35.17,  -2.93)
  3.   0.0% | 10805 km | Guess: ( 33.57,  -7.62)

--- Step 05450 | Actual: Sosnica, PL ---
  1.  46.9% | 11742 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10313 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  3078 km | Guess: ( 33.57,  -7.62)

--- Step 05463 | Actual: Ormond Beach, US ---
  1.  61.0% |  4621 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2408 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  6841 km | Guess: ( 33.57,  -7.62)

--- Step 05475 | Actual: Nyergesujfalu, HU ---
  1.  61.1% | 11416 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10232 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  2692 km | Guess: ( 33.57,  -7.62)

--- Step 05488 | Actual: Lampaul-Guimiliau, FR ---
  1.  62.3% |  9801 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8770 km | Guess: ( 24.01, -104.67)
  3.   0.0% |   796 km | Guess: ( 55.63,  -4.76)

--- Step 05500 | Actual: Hanoi, VN ---
  1.  16.5% | 18979 km | Guess: (-12.12, -77.02)
  2.   0.0% | 14016 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  3313 km | Guess: (  8.67,  77.71)

--- Step 05513 | Actual: Kinshasa, CD ---
  1.  15.5% | 10160 km | Guess: (-12.12, -77.02)
  2.   0.0% | 13239 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  7066 km | Guess: (  8.67,  77.71)

--- Step 05525 | Actual: Fillmore, US ---
  1.  65.1% |  6767 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8188 km | Guess: ( 32.75, -16.97)
  3.   0.0% |  7457 km | Guess: ( 55.63,  -4.76)

--- Step 05538 | Actual: New Richland, US ---
  1.  23.5% |  6448 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2434 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  6055 km | Guess: ( 55.63,  -4.76)

--- Step 05550 | Actual: Blackwell, US ---
  1.  75.8% |  5857 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7122 km | Guess: ( 32.75, -16.97)
  3.   0.0% |  7412 km | Guess: ( 48.20,  -1.73)

--- Step 05563 | Actual: Troulloi, CY ---
  1.  61.4% | 12647 km | Guess: (-12.12, -77.02)
  2.   0.0% | 12115 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  3245 km | Guess: ( 48.20,  -1.73)

--- Step 05575 | Actual: Bi'r `Ali Bin Khalifah, TN ---
  1.  61.5% | 10535 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9889 km | Guess: ( 37.96, -110.49)
  3.   0.0% |  2527 km | Guess: ( 32.75, -16.97)

--- Step 05588 | Actual: Coalgate, US ---
  1.  64.0% |  5572 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1417 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  7538 km | Guess: ( 48.20,  -1.73)

--- Step 05600 | Actual: Bailly-Carrois, FR ---
  1.  61.9% | 10297 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1852 km | Guess: ( 56.51,  27.33)
  3.   0.0% |   353 km | Guess: ( 48.20,  -1.73)

--- Step 05613 | Actual: Novosin'kovo, RU ---
  1.  35.9% | 12612 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10385 km | Guess: ( 24.01, -104.67)
  3.   0.0% |   611 km | Guess: ( 56.51,  27.33)

--- Step 05625 | Actual: As Sib al Jadidah, OM ---
  1.  48.3% | 15133 km | Guess: (-12.12, -77.02)
  2.   0.0% |  4430 km | Guess: ( 56.51,  27.33)
  3.   0.0% | 13222 km | Guess: ( 32.66, -96.82)

--- Step 05638 | Actual: Gol Gol, AU ---
  1.  70.4% | 13343 km | Guess: (-12.12, -77.02)
  2.   0.0% | 14668 km | Guess: ( 56.51,  27.33)
  3.   0.0% | 16725 km | Guess: ( 48.20,  -1.73)

--- Step 05650 | Actual: Puygouzon, FR ---
  1.  55.5% | 10093 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9426 km | Guess: ( 24.01, -104.67)
  3.   0.0% |   568 km | Guess: ( 48.20,  -1.73)

--- Step 05663 | Actual: Renfrew, CA ---
  1.  66.9% |  6358 km | Guess: (-12.12, -77.02)
  2.   0.0% |  3434 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  7755 km | Guess: ( 58.11,  56.32)

--- Step 05675 | Actual: Winterport, US ---
  1.  73.1% |  6366 km | Guess: (-12.12, -77.02)
  2.   0.0% |  3961 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  4993 km | Guess: ( 48.20,  -1.73)

--- Step 05688 | Actual: Selcuk, TR ---
  1.  65.6% | 12091 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2071 km | Guess: ( 56.51,  27.33)
  3.   0.0% |  9357 km | Guess: ( 33.09, -83.26)

--- Step 05700 | Actual: Taichung, TW ---
  1.   3.5% | 17717 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1566 km | Guess: ( 21.02, 105.82)
  3.   0.0% |  1567 km | Guess: ( 21.00, 105.82)

--- Step 05713 | Actual: Braganca Paulista, BR ---
  1.  51.7% |  3447 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7354 km | Guess: ( 33.09, -83.26)
  3.   0.0% | 11187 km | Guess: ( 56.51,  27.33)

--- Step 05725 | Actual: Brasilia, BR ---
  1.  18.7% |  3176 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7586 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  7493 km | Guess: ( 32.93, -96.72)

--- Step 05738 | Actual: Escondido, US ---
  1.  35.9% |  6585 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1580 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  3141 km | Guess: ( 33.09, -83.26)

--- Step 05750 | Actual: Kenitra, MA ---
  1.   4.2% |  9036 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9224 km | Guess: ( 24.01, -104.67)
  3.   0.0% |  8038 km | Guess: ( 32.93, -96.72)

--- Step 05763 | Actual: Firsanovka, RU ---
  1.  45.3% | 12622 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8632 km | Guess: ( 33.09, -83.26)
  3.   0.0% | 10424 km | Guess: ( 24.01, -104.67)

--- Step 05775 | Actual: Foxborough, US ---
  1.  69.6% |  6055 km | Guess: (-12.12, -77.02)
  2.   0.0% |  5305 km | Guess: ( 48.20,  -1.73)
  3.   0.0% |  6739 km | Guess: ( 50.05,  21.53)

--- Step 05788 | Actual: Curug, RS ---
  1.  58.8% | 11512 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1325 km | Guess: ( 56.51,  27.33)
  3.   0.0% |  1677 km | Guess: ( 48.20,  -1.73)

--- Step 05800 | Actual: Blarney, IE ---
  1.  60.6% |  9651 km | Guess: (-12.12, -77.02)
  2.   0.0% |   644 km | Guess: ( 48.20,  -1.73)
  3.   0.0% |  8112 km | Guess: ( 36.74, -119.73)

--- Step 05813 | Actual: Ballerup, DK ---
  1.  31.7% | 11081 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7351 km | Guess: ( 33.09, -83.26)
  3.   0.0% |  8776 km | Guess: ( 36.74, -119.73)

--- Step 05825 | Actual: Saquisili, EC ---
  1.  40.2% |  1284 km | Guess: (-12.12, -77.02)
  2.   0.0% |  3787 km | Guess: ( 33.09, -83.26)
  3.   0.0% |  9120 km | Guess: ( 48.20,  -1.73)

--- Step 05838 | Actual: Roussay, FR ---
  1.  78.8% |  9960 km | Guess: (-12.12, -77.02)
  2.   0.0% |   131 km | Guess: ( 48.20,  -1.73)
  3.   0.0% |  2191 km | Guess: ( 56.51,  27.33)

--- Step 05850 | Actual: Vagamo, NO ---
  1.  63.6% | 10990 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1652 km | Guess: ( 48.20,  -1.73)
  3.   0.0% |  6929 km | Guess: ( 33.09, -83.26)

--- Step 05863 | Actual: Storkow, DE ---
  1.  67.0% | 11137 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1202 km | Guess: ( 48.20,  -1.73)
  3.   0.0% |   981 km | Guess: ( 56.51,  27.33)

--- Step 05875 | Actual: Bamako, ML ---
  1.  16.1% |  8096 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7883 km | Guess: ( 33.09, -83.26)
  3.   0.0% |  9070 km | Guess: ( 30.01, -95.47)

--- Step 05888 | Actual: Rytro, PL ---
  1.  68.9% | 11583 km | Guess: (-12.12, -77.02)
  2.   0.0% |  9667 km | Guess: ( 36.74, -119.73)
  3.   0.0% |  8174 km | Guess: ( 33.09, -83.26)

--- Step 05900 | Actual: New Ross, IE ---
  1.  58.0% |  9773 km | Guess: (-12.12, -77.02)
  2.   0.0% |   601 km | Guess: ( 48.20,  -1.73)
  3.   0.0% |  6269 km | Guess: ( 33.09, -83.26)

--- Step 05913 | Actual: Taubate, BR ---
  1.  25.8% |  3536 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7408 km | Guess: ( 33.09, -83.26)
  3.   0.0% | 10214 km | Guess: ( 36.74, -119.73)

--- Step 05925 | Actual: Burunday, KZ ---
  1.  45.2% | 15722 km | Guess: (-12.12, -77.02)
  2.   0.0% | 10958 km | Guess: ( 36.74, -119.73)
  3.   0.0% | 11275 km | Guess: ( 33.09, -83.26)

--- Step 05938 | Actual: Berkak, NO ---
  1.  64.3% | 11062 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8075 km | Guess: ( 36.74, -119.73)
  3.   0.0% |  1791 km | Guess: ( 48.20,  -1.73)

--- Step 05950 | Actual: Lara, AU ---
  1.  62.7% | 12967 km | Guess: (-12.12, -77.02)
  2.   0.0% | 15053 km | Guess: ( 56.51,  27.33)
  3.   0.0% | 12863 km | Guess: ( 36.74, -119.73)

--- Step 05963 | Actual: Dynow, PL ---
  1.  61.8% | 11699 km | Guess: (-12.12, -77.02)
  2.   0.0% |   820 km | Guess: ( 56.51,  27.33)
  3.   0.0% |  1753 km | Guess: ( 48.20,  -1.73)

--- Step 05975 | Actual: Quilmes, AR ---
  1.  15.0% |  3156 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8196 km | Guess: ( 30.01, -95.47)
  3.   0.0% | 10183 km | Guess: ( 36.74, -119.73)

--- Step 05988 | Actual: Ipswich, GB ---
  1.  25.3% | 10280 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7847 km | Guess: ( 30.01, -95.47)
  3.   0.0% |  6815 km | Guess: ( 33.09, -83.26)

--- Step 06000 | Actual: Senhora da Hora, PT ---
  1.  30.3% |  9158 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6473 km | Guess: ( 33.09, -83.26)
  3.   0.0% |  3084 km | Guess: ( 56.51,  27.33)

--- Step 06013 | Actual: Leirvik, NO ---
  1.  17.4% | 10757 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6811 km | Guess: ( 33.09, -83.26)
  3.   0.0% |  7734 km | Guess: ( 30.01, -95.47)

--- Step 06025 | Actual: Stephenville, US ---
  1.  76.1% |  5427 km | Guess: (-12.12, -77.02)
  2.   0.0% |  8890 km | Guess: ( 56.51,  27.33)
  3.   0.0% |  7832 km | Guess: ( 48.20,  -1.73)

--- Step 06038 | Actual: Fiki, GR ---
  1.  59.1% | 11602 km | Guess: (-12.12, -77.02)
  2.   0.0% |  1936 km | Guess: ( 56.51,  27.33)
  3.   0.0% |  8850 km | Guess: ( 33.09, -83.26)

--- Step 06050 | Actual: Tainan, TW ---
  1.  34.5% | 17828 km | Guess: (-12.12, -77.02)
  2.   0.0% |  6332 km | Guess: ( 58.11,  56.32)
  3.   0.0% |  9335 km | Guess: ( 40.61,  17.94)

--- Step 06063 | Actual: Fortaleza, BR ---
  1.  22.3% |  4342 km | Guess: (-12.12, -77.02)
  2.   0.0% |  7545 km | Guess: ( 40.61,  17.94)
  3.   0.0% |  6237 km | Guess: ( 33.09, -83.26)

--- Step 06075 | Actual: Florence, US ---
